Table 13,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,
"by State, Federal, and Agency, 2019",,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,,Number of incidents per quarter,,,,Population1
,,,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,,Yorba Linda,1,0,1,0,0,0,0,0,2,0,"68,225"
,,Yuba City,0,0,0,0,0,1,0,0,1,0,"67,164"
,,Yucca Valley,0,0,1,0,0,0,1,,0,0,"21,858"
,Universities and Colleges,,17,2,1,0,0,0,,,,,
,,California State University:,,,,,,,,,,,
,,Chico,1,0,0,0,0,0,0,1,0,0,"19,754"
,,East Bay,1,0,0,0,0,0,1,0,0,0,"19,613"
,,Northridge,1,0,0,0,0,0,0,0,0,1,"44,639"
,,Humboldt State University,7,1,0,0,0,0,1,4,0,3,"9,262"
,,San Diego State University,1,0,0,0,0,0,0,1,0,0,"37,748"
,,San Francisco State University,1,0,0,0,0,0,0,0,1,0,"33,506"
,,University of California:,,,,,,,,,,,
,,Davis,4,0,0,0,0,0,0,2,1,1,"39,783"
,,Irvine,1,0,0,0,0,0,0,0,0,1,"37,170"
,,San Diego,0,1,1,0,0,0,1,1,0,0,"37,744"
,Metropolitan Counties ,,52,12,17,2,1,3,,,,,
,,Los Angeles,10,1,3,0,1,0,5,5,3,2,
,,Marin,2,2,0,0,0,0,0,2,2,0,
,,Merced,1,0,0,0,0,0,1,0,0,0,
,,Monterey,1,0,0,0,0,0,0,0,1,0,
,,Napa,1,0,1,0,0,0,0,0,2,0,
,,Orange,6,1,1,1,0,0,1,4,2,2,
,,Riverside,3,1,1,0,0,0,2,1,1,1,
,,Sacramento,2,0,0,0,0,2,0,1,1,2,
,,San Bernardino,0,0,2,0,0,0,2,,0,0,
,,San Diego,12,4,6,1,0,1,6,7,8,3,
,,San Luis Obispo,0,1,1,0,0,0,0,0,1,1,
,,San Mateo,3,0,1,0,0,0,0,0,3,1,
,,Santa Barbara,0,1,0,0,0,0,0,0,1,0,
,,Santa Clara,4,1,0,0,0,0,1,1,2,1,
,,Santa Cruz,6,0,1,0,0,0,2,2,1,2,
,,Tulare,1,0,0,0,0,0,0,0,0,1,
,Nonmetropolitan Counties ,,2,1,2,0,0,0,,,,,
,,Glenn,0,0,1,0,0,0,,1,0,0,
,,Mendocino,1,1,0,0,0,0,1,1,0,0,
,,Nevada,1,0,0,0,0,0,0,0,1,0,
,,Tuolumne,0,0,1,0,0,0,0,0,1,0,
,Other Agencies,,6,0,3,0,1,0,,,,,
,,Los Angeles Transportation Services Bureau,0,0,3,0,1,0,3,0,0,1,
,,Port of San Diego Harbor,5,0,0,0,0,0,1,,3,1,
,,Santa Clara Transit District,1,0,0,0,0,0,0,1,0,0,
Colorado,Total,,117,36,47,7,0,5,,,,,
,Cities ,,96,30,40,3,0,2,,,,,
,,Aurora,2,0,0,0,0,0,0,1,1,0,"380,600"
,,Boulder,4,1,3,0,0,0,2,2,0,4,"108,519"
,,Brighton,1,1,0,0,0,0,0,0,0,2,"42,267"
,,Broomfield,1,0,0,0,0,0,0,0,1,0,"70,798"
,,Canon City,1,1,0,0,0,0,1,1,0,0,"16,793"
,,Carbondale,1,0,0,0,0,0,0,0,0,1,"6,941"
,,Castle Rock,1,0,0,0,0,0,0,0,0,1,"67,208"
,,Centennial,0,2,0,0,0,0,0,1,0,1,"112,129"
,,Colorado Springs,6,2,4,0,0,0,1,3,5,3,"479,648"
,,Commerce City,2,0,0,0,0,0,1,0,1,0,"60,198"
,,Denver,40,15,26,2,0,2,11,39,25,10,"728,941"
,,Durango,1,1,0,0,0,0,0,1,0,1,"19,271"
,,Edgewater,1,0,0,0,0,0,1,0,0,0,"5,363"
,,Englewood,2,0,0,0,0,0,1,1,0,0,"35,273"
,,Evans,3,0,0,0,0,0,1,0,2,0,"21,585"
,,Fort Collins2,4,2,1,0,0,0,2,2,0,2,"170,889"
,,Frisco,1,0,0,0,0,0,0,1,0,0,"3,220"
,,Glenwood Springs,4,0,0,0,0,0,2,0,1,1,"10,027"
,,Grand Junction,2,1,0,0,0,0,1,1,1,0,"63,949"
,,Greenwood Village,1,0,1,0,0,0,1,1,0,0,"16,046"
,,Hudson,0,0,1,0,0,0,1,0,0,0,"1,806"
,,Lone Tree,1,0,0,0,0,0,0,0,1,0,"15,129"
,,Longmont,2,0,1,1,0,0,2,1,1,0,"97,928"
,,Loveland,1,0,0,0,0,0,1,0,0,0,"78,856"
,,Manitou Springs,0,1,0,0,0,0,0,0,1,0,"5,388"
,,Parker,2,1,0,0,0,0,2,1,0,0,"57,050"
